files_changed,lines_added,lines_deleted,test_coverage,developer_experience,previous_incidents_30d,rollback_rate_90d,deployment_frequency_7d,database_changes,services_touched,hour_of_day,incident_occurred
11,256,37,80.62,5,2,0.1426,6,0,2,23,0
5,128,55,76.75,10,0,0.0909,1,0,1,2,0
2,40,6,76.38,4,1,0.0641,1,0,4,7,0
22,322,352,79.74,3,0,0.1952,4,0,3,8,0
8,247,64,76.85,2,0,0.053,3,0,3,11,0
5,136,69,99.0,9,0,0.056,3,1,4,2,0
6,167,73,85.89,6,1,0.23,7,0,1,1,0
9,238,160,90.82,4,1,0.0596,1,0,4,8,0
14,392,76,76.62,6,1,0.0541,3,1,3,22,0
12,282,145,90.88,3,2,0.0922,3,0,2,5,0
10,144,168,91.76,9,1,0.0552,1,1,3,1,0
14,122,108,95.56,5,2,0.1738,5,1,3,6,0
23,402,384,85.38,8,1,0.0871,3,1,2,7,1
3,62,42,92.42,7,2,0.1965,2,0,4,11,0
4,127,42,76.98,2,5,0.2094,6,0,1,4,1
4,108,37,78.72,2,0,0.1373,3,0,4,16,0
1,21,17,85.46,2,0,0.0646,2,0,3,20,0
7,105,37,86.04,1,2,0.1292,1,0,3,16,0
3,60,13,72.07,5,0,0.0827,14,0,2,4,0
7,83,121,85.02,9,0,0.0953,3,0,3,15,0
13,393,210,70.5,5,1,0.0689,7,0,2,18,0
21,211,216,95.92,2,1,0.0828,6,0,2,4,0
26,798,142,90.74,9,0,0.0102,3,0,4,6,0
3,78,40,86.74,5,1,0.0698,3,0,3,14,0
14,263,94,69.69,2,2,0.1154,3,0,2,18,0
2,19,24,93.91,4,1,0.1328,7,1,1,10,0
9,123,117,90.47,4,0,0.0932,2,0,4,7,0
30,821,175,86.74,2,1,0.0611,5,0,3,13,0
18,517,68,73.79,2,3,0.144,2,1,3,3,1
4,50,38,73.84,7,3,0.1556,8,1,4,7,1
6,58,90,99.0,9,0,0.0367,6,1,1,2,0
8,226,43,80.63,8,0,0.0699,5,0,4,1,0
11,88,97,81.27,8,2,0.1771,3,0,4,4,0
4,52,15,76.87,9,3,0.1654,2,1,3,1,1
17,330,285,82.51,9,3,0.1957,2,1,1,5,1
10,96,159,84.57,7,2,0.1557,6,1,2,18,0
15,342,139,88.51,10,1,0.0702,3,0,3,8,0
5,125,32,82.82,7,1,0.1359,1,1,3,14,0
5,130,20,92.89,8,0,0.1502,3,0,1,2,0
11,221,54,69.29,6,0,0.0821,2,0,2,11,0
36,666,401,88.34,5,3,0.1252,5,0,1,21,1
4,60,51,80.85,3,0,0.0453,9,0,1,23,0
6,87,72,78.82,6,0,0.1594,4,1,3,16,0
3,89,47,91.18,2,3,0.0866,2,0,3,1,1
19,503,238,74.92,5,0,0.0693,10,1,4,17,0
8,171,37,72.67,3,1,0.0152,1,0,3,18,0
24,439,87,95.23,6,0,0.1449,1,0,1,11,0
18,251,81,82.1,9,1,0.114,2,0,4,19,0
8,241,52,78.15,3,2,0.1023,11,0,2,13,1
13,333,103,82.71,7,3,0.1331,4,0,2,8,0
15,372,131,77.35,1,0,0.0535,5,0,2,6,0
10,190,75,75.07,4,4,0.2048,2,0,2,12,1
2,57,35,69.79,5,1,0.1749,2,0,4,21,0
6,125,102,84.62,2,3,0.1442,5,0,3,5,0
6,189,21,75.87,10,4,0.1347,1,0,3,13,1
18,364,158,89.92,10,2,0.0985,3,1,1,22,0
1,20,15,99.0,4,2,0.1486,2,0,1,21,0
4,91,51,84.44,2,0,0.0605,4,0,3,16,0
12,213,108,90.73,5,0,0.0148,1,0,2,13,0
4,68,56,79.87,3,2,0.1164,3,0,3,12,0
5,40,36,81.52,7,0,0.0945,2,0,3,14,0
11,266,117,97.33,3,2,0.1146,4,0,3,16,0
8,182,35,91.84,4,1,0.1263,3,0,2,6,0
40,364,710,86.06,10,2,0.1693,4,0,1,14,1
37,855,218,73.92,7,0,0.0729,1,0,2,4,1
16,130,228,63.9,2,0,0.0954,10,0,2,5,0
15,370,149,76.23,9,1,0.0456,10,0,1,14,0
18,344,197,77.31,9,1,0.0279,7,0,4,19,0
7,205,65,94.38,9,1,0.1052,3,0,2,23,0
5,94,71,88.23,5,1,0.1104,4,0,4,20,0
13,241,178,70.75,4,1,0.12,2,0,3,17,0
24,278,209,83.16,3,2,0.1762,4,0,1,13,1
3,63,27,79.31,4,0,0.109,7,0,4,18,0
4,33,64,88.86,10,0,0.0021,8,0,1,11,0
15,260,245,80.63,7,1,0.0831,7,0,2,15,0
16,295,54,85.31,6,1,0.1043,5,0,4,23,0
6,115,29,65.35,10,2,0.0713,5,0,4,18,0
10,86,126,72.6,3,0,0.1136,3,0,2,1,0
34,539,333,78.81,6,0,0.0561,2,0,4,8,0
7,195,47,71.65,2,0,0.0826,1,0,1,11,0
7,67,121,82.42,1,2,0.1249,3,0,2,6,0
12,274,78,89.58,8,0,0.0554,1,0,2,14,0
43,1135,237,78.89,10,1,0.1433,2,0,1,5,1
8,84,27,91.69,5,1,0.1736,1,0,4,12,0
4,51,47,72.95,4,1,0.0572,2,1,3,21,0
4,43,71,78.49,1,3,0.1157,3,0,4,21,0
43,866,349,92.15,7,2,0.0906,1,0,1,13,1
15,348,231,99.0,3,2,0.1137,3,0,3,19,0
5,104,51,75.74,7,0,0.0533,2,0,3,10,0
8,223,34,73.69,8,2,0.1476,3,0,4,18,0
